nome,carga_horaria,periodo,curso_id,area_conhecimento,professor_id
Lógica,60,1,1,2,
Cálculo 1,90,1,1,2,
Programação 1,90,1,1,1313,
Comunicação Empresarial,30,1,1,1071,
Fundamentos de Sistemas de Informação,60,1,1,1312,
Metodologia da Pesquisa,30,1,1,1071,
Matemática Discreta,60,2,1,2,
Cálculo 2,90,2,1,2,
Programação 2,90,2,1,1313,
Arquitetura e Organização de Computadores,60,2,1,1312,
Teoria Geral da Administração,60,2,1,1315,
Probabilidade e Estatística,60,3,1,2,
Estrutura de Dados,60,3,1,1313,
Teoria Geral de Sistemas,60,3,1,1312,
Sistemas Operacionais,60,3,1,1314,
Administração Financeira,60,3,1,1315,
Banco de Dados 1,60,4,1,58,
Programação Orientada a Objetos 1,60,4,1,1313,
Análise de Sistemas,60,4,1,57,
Sistemas de Apoio a Decisão,30,4,1,57,
Redes de Computadores,60,4,1,1314,
Sociologia,30,4,1,1071,
Linguagens Formais e Autômatos,60,5,1,1312,
Banco de Dados 2,60,5,1,58,
Programação Orientada a Objetos 2,60,5,1,1313,
Engenharia de Software,60,5,1,57,
Projeto de Sistemas,60,5,1,57,
Anteprojeto,30,6,1,1316,
Empreendedorismo,60,6,1,1316,
Técnicas de Programação Avançada,60,6,1,1313,
Gerência de Projetos de Software,60,6,1,57,
Sistemas Distribuidos,60,6,1,1314,
Administração da Produção e Logística,30,6,1,1315,
Projeto de Diplomação 1,60,7,1,1316,
Laboratório de Engenharia de Software,60,7,1,57,
Comércio Eletrônico,60,7,1,1314,
Desenvolvimento Web,60,7,1,1314,
Gestão de Sistemas de Informação,60,7,1,57,
Projeto de Diplomação 2,90,8,1,1316,
Ética e Legislação,30,8,1,1071,
Informática e Sociedade,30,8,1,1071,
